claim_id	status	claim_for_writing	key_evidence	boundary_or_disallowed_claim
C1	supported-descriptive	Hidden-state alignment can amplify concentration beyond the raw LoRA parameter spectrum.	Functional top-1 exceeds raw top-1 in 8/8 checkpoints by 3.5--27.2 pp using fixed pretrained-base trajectories.	Do not call this a necessary causal condition or claim it holds on every free-running LoRA trajectory.
C2	supported-descriptive	All-module HNS strongly reduces extreme LoRA modification on the controlled activation distribution.	Per-layer p99 HNS/LoRA ratio is 0.175--0.581 in 8/8 checkpoints.	Do not infer downstream benefit from modification suppression alone.
C3	partially-supported	Dominant-head suppression is an important candidate mechanism in math, but it is not universally sufficient.	Both MetaMath checkpoints have HeadOnly greater than TailOnly and ScalarShrink; Qwen MetaMath HeadFro remains Holm-positive.	Do not claim HeadOnly generally dominates scalar or that dominant modes are generally excessive.
C4	supported-boundary	Task utility and functional use intensity are distinct quantities.	Commonsense loses or stays flat despite suppression; localization signs depend on task and scope; SFT-NLL utility can oppose downstream utility.	Do not use functional concentration as a signed utility score.
C5	unresolved	Spectral shape may add value beyond matched per-module scale in Qwen MetaMath.	Common-basis HNS minus PerModule is +1.37 pp strict, CI [-0.78,+3.52], and +1.95 pp numeric, CI [0,+4.10].	Do not present shape-specific benefit as established; failure to reject zero is not equivalence.
C6	not-established	HNS offers practical benefit over a calibrated global LoRA scalar.	Common-basis HNS minus calibrated scalar is +0.39 pp strict, CI [-1.56,+2.34], and -0.20 pp numeric, CI [-1.76,+1.56].	Do not claim superiority or equivalence; the scalar grid selected its lower boundary gamma=0.4.
C7	supported-methodological	Low-rank factor representation and run repeatability require separate controls.	Identical adapters are 32/32 token-repeatable across three deterministic processes, while intended-equivalent factor representations change strict status on 3--5/32 enriched questions.	Do not interpret the enriched-set rates as population incidence or saved-matrix error as a runtime functional bound.
C8	not-established	A generic predictor can identify excessive versus task-essential spectral directions.	Raw/functional checkpoint correlations are fragile; FunctionalTop-K does not reliably beat controls; PIQA signed gate and MetaMath reward-gradient pilots stop without usable signal.	Do not generalize the tested predictors' failure into impossibility of reward-aligned sensitivity methods.
C9	supported-boundary	Module-set effects are non-additive and surrogate-dependent.	Observed set utility differs from sums of single-module utility; Qwen Commonsense SFT NLL improves while downstream falls, with the reverse pattern in Magicoder/Llama Tulu.	Do not sum single-module utilities into a downstream editing policy.
C10	supported-cross-base	Task family is a stronger qualitative moderator than raw concentration alone in the tested 2x4 grid.	Both bases show positive HNS point estimates on code/math/IF and negative-or-zero on commonsense; MetaMath is the most consistent positive regime.	Do not claim universal task-family effects from two bases or treat all Tulu positives as statistically resolved.
