base	train_task	seed	method	subtask	score	samples
Qwen3-8B	base		base	arc_challenge	86.3481228668942	1172
Qwen3-8B	base		base	arc_easy	94.65488215488216	2376
Qwen3-8B	base		base	boolq	87.0336391437309	3270
Qwen3-8B	base		base	hellaswag	84.06691894045011	10042
Qwen3-8B	base		base	openbookqa	82.39999999999999	500
Qwen3-8B	base		base	piqa	87.15995647442872	1838
Qwen3-8B	base		base	siqa	75.33265097236438	1954
Qwen3-8B	base		base	winogrande	64.40410418310971	1267
Qwen3-8B	magicoder	42	original_lora	arc_challenge	90.44368600682594	1172
Qwen3-8B	magicoder	42	original_lora	arc_easy	96.88552188552188	2376
Qwen3-8B	magicoder	42	original_lora	boolq	87.55351681957187	3270
Qwen3-8B	magicoder	42	original_lora	hellaswag	83.92750448117906	10042
Qwen3-8B	magicoder	42	original_lora	openbookqa	85.0	500
Qwen3-8B	magicoder	42	original_lora	piqa	86.45266594124048	1838
Qwen3-8B	magicoder	42	original_lora	siqa	75.02558853633572	1954
Qwen3-8B	magicoder	42	original_lora	winogrande	64.00947119179163	1267
Qwen3-8B	magicoder	42	flat_fro	arc_challenge	90.27303754266211	1172
Qwen3-8B	magicoder	42	flat_fro	arc_easy	96.12794612794613	2376
Qwen3-8B	magicoder	42	flat_fro	boolq	87.33944954128441	3270
Qwen3-8B	magicoder	42	flat_fro	hellaswag	84.66440948018324	10042
Qwen3-8B	magicoder	42	flat_fro	openbookqa	85.2	500
Qwen3-8B	magicoder	42	flat_fro	piqa	87.81284004352557	1838
Qwen3-8B	magicoder	42	flat_fro	siqa	75.63971340839304	1954
Qwen3-8B	magicoder	42	flat_fro	winogrande	65.50907655880032	1267
Qwen3-8B	magicoder	42	flat_nuclear	arc_challenge	88.13993174061433	1172
Qwen3-8B	magicoder	42	flat_nuclear	arc_easy	95.83333333333334	2376
Qwen3-8B	magicoder	42	flat_nuclear	boolq	87.49235474006116	3270
Qwen3-8B	magicoder	42	flat_nuclear	hellaswag	84.54491137223661	10042
Qwen3-8B	magicoder	42	flat_nuclear	openbookqa	84.2	500
Qwen3-8B	magicoder	42	flat_nuclear	piqa	87.70402611534276	1838
Qwen3-8B	magicoder	42	flat_nuclear	siqa	75.33265097236438	1954
Qwen3-8B	magicoder	42	flat_nuclear	winogrande	65.27229676400947	1267
Qwen3-8B	magicoder	42	dg_hard	arc_challenge	90.44368600682594	1172
Qwen3-8B	magicoder	42	dg_hard	arc_easy	96.88552188552188	2376
Qwen3-8B	magicoder	42	dg_hard	boolq	87.55351681957187	3270
Qwen3-8B	magicoder	42	dg_hard	hellaswag	83.92750448117906	10042
Qwen3-8B	magicoder	42	dg_hard	openbookqa	85.0	500
Qwen3-8B	magicoder	42	dg_hard	piqa	86.45266594124048	1838
Qwen3-8B	magicoder	42	dg_hard	siqa	75.02558853633572	1954
Qwen3-8B	magicoder	42	dg_hard	winogrande	64.00947119179163	1267
Qwen3-8B	magicoder	42	hns_f4_s1	arc_challenge	88.48122866894198	1172
Qwen3-8B	magicoder	42	hns_f4_s1	arc_easy	95.83333333333334	2376
Qwen3-8B	magicoder	42	hns_f4_s1	boolq	87.49235474006116	3270
Qwen3-8B	magicoder	42	hns_f4_s1	hellaswag	84.51503684524995	10042
Qwen3-8B	magicoder	42	hns_f4_s1	openbookqa	84.39999999999999	500
Qwen3-8B	magicoder	42	hns_f4_s1	piqa	87.86724700761698	1838
Qwen3-8B	magicoder	42	hns_f4_s1	siqa	75.28147389969294	1954
Qwen3-8B	magicoder	42	hns_f4_s1	winogrande	65.35122336227307	1267
Qwen3-8B	metamath	42	original_lora	arc_challenge	88.13993174061433	1172
Qwen3-8B	metamath	42	original_lora	arc_easy	96.08585858585859	2376
Qwen3-8B	metamath	42	original_lora	boolq	88.53211009174312	3270
Qwen3-8B	metamath	42	original_lora	hellaswag	83.09101772555267	10042
Qwen3-8B	metamath	42	original_lora	openbookqa	84.39999999999999	500
Qwen3-8B	metamath	42	original_lora	piqa	85.41893362350382	1838
Qwen3-8B	metamath	42	original_lora	siqa	74.30910951893551	1954
Qwen3-8B	metamath	42	original_lora	winogrande	65.03551696921863	1267
Qwen3-8B	metamath	42	flat_fro	arc_challenge	91.12627986348123	1172
Qwen3-8B	metamath	42	flat_fro	arc_easy	97.09595959595958	2376
Qwen3-8B	metamath	42	flat_fro	boolq	88.07339449541286	3270
Qwen3-8B	metamath	42	flat_fro	hellaswag	84.41545508862777	10042
Qwen3-8B	metamath	42	flat_fro	openbookqa	85.0	500
Qwen3-8B	metamath	42	flat_fro	piqa	87.15995647442872	1838
Qwen3-8B	metamath	42	flat_fro	siqa	75.28147389969294	1954
Qwen3-8B	metamath	42	flat_fro	winogrande	67.008681925809	1267
