base	eval_task	comparison	left	right	metric	left_score	right_score	delta	ci95_low	ci95_high	bootstrap_draws
Llama-3.1-8B-Instruct	metamath	original_hns_vs_base	original_hns	base	expected_reward	0.6163760424564063	0.6353297952994693	-0.018953752843062926	-0.028999241849886278	-0.008718726307808946	20000
Llama-3.1-8B-Instruct	metamath	original_hns_vs_base	original_hns	base	any_at_n	0.910538286580743	0.8870356330553449	0.02350265352539803	0.0075815011372251705	0.0401819560272934	20000
Llama-3.1-8B-Instruct	metamath	original_hns_vs_base	original_hns	base	majority	0.7058377558756633	0.6929492039423806	0.01288855193328279	-0.00530705079605762	0.03184230477634572	20000
Llama-3.1-8B-Instruct	metamath	original_hns_vs_original_lora	original_hns	original_lora	expected_reward	0.6163760424564063	0.48843821076573163	0.12793783169067474	0.1153335860500379	0.14035253980288098	20000
Llama-3.1-8B-Instruct	metamath	original_hns_vs_original_lora	original_hns	original_lora	any_at_n	0.910538286580743	0.8870356330553449	0.02350265352539803	0.006823351023502654	0.0401819560272934	20000
Llama-3.1-8B-Instruct	metamath	original_hns_vs_original_lora	original_hns	original_lora	majority	0.7058377558756633	0.6747536012130402	0.0310841546626232	0.008339651250947688	0.05458680818802123	20000
Llama-3.1-8B-Instruct	metamath	common_hns_vs_base	common_hns	base	expected_reward	0.6234836997725549	0.6353297952994693	-0.011846095526914329	-0.022175890826383625	-0.0017058377558756635	20000
Llama-3.1-8B-Instruct	metamath	common_hns_vs_base	common_hns	base	any_at_n	0.9097801364670205	0.8870356330553449	0.022744503411675512	0.006065200909780136	0.039423805913570885	20000
Llama-3.1-8B-Instruct	metamath	common_hns_vs_base	common_hns	base	majority	0.7172100075815011	0.6929492039423806	0.024260803639120546	0.00530705079605762	0.043214556482183475	20000
Llama-3.1-8B-Instruct	metamath	common_hns_vs_common_lora	common_hns	common_lora	expected_reward	0.6234836997725549	0.49725170583775585	0.12623199393479909	0.11372251705837756	0.1386467020470053	20000
Llama-3.1-8B-Instruct	metamath	common_hns_vs_common_lora	common_hns	common_lora	any_at_n	0.9097801364670205	0.8931008339651251	0.016679302501895376	0.000758150113722517	0.03335860500379075	20000
Llama-3.1-8B-Instruct	metamath	common_hns_vs_common_lora	common_hns	common_lora	majority	0.7172100075815011	0.6830932524639879	0.03411675511751327	0.01061410159211524	0.0576194086429113	20000
Llama-3.1-8B-Instruct	metamath	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p25	expected_reward	0.6234836997725549	0.6144806671721	0.00900303260045489	0.0005686125852918878	0.017437452615617893	20000
Llama-3.1-8B-Instruct	metamath	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p25	any_at_n	0.9097801364670205	0.9029567854435178	0.006823351023502654	-0.008339651250947688	0.021986353297952996	20000
Llama-3.1-8B-Instruct	metamath	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p25	majority	0.7172100075815011	0.6974981046247157	0.019711902956785442	0.002274450341167551	0.037149355572403335	20000
Llama-3.1-8B-Instruct	metamath	original_vs_common_hns	original_hns	common_hns	expected_reward	0.6163760424564063	0.6234836997725549	-0.007107657316148598	-0.012983320697498104	-0.0011372251705837756	20000
Llama-3.1-8B-Instruct	metamath	original_vs_common_hns	original_hns	common_hns	any_at_n	0.910538286580743	0.9097801364670205	0.000758150113722517	-0.01061410159211524	0.012130401819560273	20000
Llama-3.1-8B-Instruct	metamath	original_vs_common_hns	original_hns	common_hns	majority	0.7058377558756633	0.7172100075815011	-0.011372251705837756	-0.025018953752843062	0.002274450341167551	20000
Llama-3.1-8B-Instruct	metamath	original_vs_common_lora	original_lora	common_lora	expected_reward	0.48843821076573163	0.49725170583775585	-0.008813495072024261	-0.014878695981804397	-0.0027482941622441245	20000
Llama-3.1-8B-Instruct	metamath	original_vs_common_lora	original_lora	common_lora	any_at_n	0.8870356330553449	0.8931008339651251	-0.006065200909780136	-0.017437452615617893	0.004548900682335102	20000
Llama-3.1-8B-Instruct	metamath	original_vs_common_lora	original_lora	common_lora	majority	0.6747536012130402	0.6830932524639879	-0.008339651250947688	-0.025018953752843062	0.008339651250947688	20000
Llama-3.1-8B-Instruct	magicoder	original_hns_vs_base	original_hns	base	expected_reward	0.5282012195121951	0.44740853658536583	0.08079268292682927	0.041920731707317076	0.1211890243902439	20000
