checkpoint	base	task	seed	comparison	target	off_score	forgetting_gap
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	base minus original_lora	-1.2195121951219576	4.9783827473534075	-4.97838274735341
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	base minus original_lora	-3.6585365853658587	4.355467084490336	-4.810357152723857
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	base minus original_lora	-1.2195121951219576	2.965569221926934	-4.001707710681046
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	base minus original_lora	-14.708112206216825	4.0955565967536245	-4.705312694314604
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	base minus original_lora	-12.661106899166029	3.734780967170259	-4.1412850322109165
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	base minus original_lora	-12.05458680818802	2.3338030022907787	-3.3500631648924064
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	base minus original_lora	-1.1090573012939018	-1.7506105718624312	-1.907926013503425
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	base minus original_lora	-0.7393715341959322	-5.490650612549594	0.0
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	base minus original_lora	0.0	-3.6208216078037836	-1.0108668182966885
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base minus original_lora	1.2195121951219505	1.5713502705456222	-1.9004202758208966
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	base minus original_lora	3.6585365853658587	1.6097953451608902	-1.985624576956435
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	base minus original_lora	1.8292682926829258	0.8161355854349921	-1.1105054007101292
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base minus original_lora	1.5921152388172715	1.6483283623606155	-1.798836842342548
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	base minus original_lora	1.7437452615617843	3.275803662485515	-3.5232856949641636
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	base minus original_lora	1.7437452615617843	9.42688707578894	-9.522414078114908
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	base minus original_lora	1.8484288354898268	-7.722989138166014	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	base minus original_lora	3.5120147874306866	-6.829680442885703	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	base minus original_lora	2.7726432532347474	-7.442765638558527	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	base minus hns_f4_s1	-2.439024390243908	0.505327087527462	-0.9096738148461441
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	base minus hns_f4_s1	-3.0487804878048834	-0.7297389519610107	-1.6019716574245209
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	base minus hns_f4_s1	-1.2195121951219576	-1.2857540775893739	-1.3555144793592102
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	base minus hns_f4_s1	-18.271417740712664	-1.358660592282753	-1.6901198955221186
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	base minus hns_f4_s1	-15.996967399545113	-0.31320873600913757	-0.24645717806531073
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	base minus hns_f4_s1	-16.603487490523122	-0.5188012966358784	-0.06161429451632946
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	base minus hns_f4_s1	-2.7726432532347545	-4.339950040241128	-0.3283746945604283
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	base minus hns_f4_s1	-3.142329020332717	-5.610362170269845	0.0
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	base minus hns_f4_s1	-2.7726432532347545	-4.132805514674779	0.0
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base minus hns_f4_s1	-8.536585365853654	-1.9639816804493506	0.0
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	base minus hns_f4_s1	-7.926829268292678	-1.82216563520889	0.0
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	base minus hns_f4_s1	-7.926829268292678	-1.888012236931914	0.0
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base minus hns_f4_s1	-2.426080363912064	-1.9790028183044228	0.0
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	base minus hns_f4_s1	-1.0614101592115333	-3.7090199851010937	0.0
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	base minus hns_f4_s1	-1.667930250189542	-1.3178977014229503	0.0
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	base minus hns_f4_s1	-1.1090573012938876	-7.067621830761212	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	base minus hns_f4_s1	-2.7726432532347474	-6.658628157602621	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	base minus hns_f4_s1	-1.293900184842883	-6.180837592922913	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	base minus para_e90	-4.268292682926827	4.151940814891816	-4.151940814891826
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	base minus para_e90	-3.6585365853658587	3.5549669865102587	-4.439475452519869
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	base minus para_e90	-4.878048780487802	2.858896727547993	-4.066543438077633
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	base minus para_e90	-14.02577710386656	2.713964036057881	-3.9334762311798337
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	base minus para_e90	-13.115996967399553	3.3146451190877784	-3.924401216648756
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	base minus para_e90	-13.191811978771796	2.4295736257236626	-3.242581755804968
