group	comparison	outcome	n_checkpoints	mean_difference	ci_low	ci_high	uncertainty
overall	base minus original_lora	target	18	-1.524988111855758	-4.140281120597359	0.7230119901701175	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
overall	base minus original_lora	off_score	18	0.4419078838853257	-1.8011303093823632	2.4871405445350736	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
overall	base minus original_lora	forgetting_gap	18	-2.708166011271413	-3.8667820497397525	-1.6865622538133416	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model/Qwen3-8B	base minus original_lora	target	9	2.2133344123629817	1.706510580443626	2.8119812935330137	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model/Qwen3-8B	base minus original_lora	off_score	9	-0.4052372130926298	-4.161989355119872	3.3515054018212957	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model/Qwen3-8B	base minus original_lora	forgetting_gap	9	-2.2045652076565645	-4.2168501617126015	-0.7342888179129025	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model/Llama-3.1-8B-Instruct	base minus original_lora	target	9	-5.263310636074498	-9.087747973400436	-1.6011639090512961	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model/Llama-3.1-8B-Instruct	base minus original_lora	off_score	9	1.2890529808632811	-1.199649945193298	3.425395598956506	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model/Llama-3.1-8B-Instruct	base minus original_lora	forgetting_gap	9	-3.2117668148862615	-4.242671988210924	-2.0378071527292407	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
task/magicoder	base minus original_lora	target	6	0.10162601626016017	-1.9308943089430943	2.1341463414634156	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
task/magicoder	base minus original_lora	off_score	6	2.7161167091520304	1.5647968922773867	3.973217055602136	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
task/magicoder	base minus original_lora	forgetting_gap	6	-3.131166310707629	-4.288806280403596	-2.001530606783256	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
task/metamath	base minus original_lora	target	6	-5.724033358605006	-11.207985847864542	-0.5812484205206019	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
task/metamath	base minus original_lora	off_score	6	4.085859944474955	2.4958078931597605	6.407466965596914	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
task/metamath	base minus original_lora	forgetting_gap	6	-4.5068662511399245	-6.6909839647526494	-2.8670610477356067	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
task/tulu	base minus original_lora	target	6	1.047443006777571	-0.3080714725816402	2.4953789279112755	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
task/tulu	base minus original_lora	off_score	6	-5.476253001971009	-7.155344018081977	-3.6207563441412116	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
task/tulu	base minus original_lora	forgetting_gap	6	-0.4864654719666856	-1.1224408098011607	0.0	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Qwen3-8B/magicoder	base minus original_lora	target	3	2.235772357723578	1.2195121951219505	3.6585365853658587	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Qwen3-8B/magicoder	base minus original_lora	off_score	3	1.332427067047168	0.8161355854349921	1.6097953451608902	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Qwen3-8B/magicoder	base minus original_lora	forgetting_gap	3	-1.6655167511624869	-1.985624576956435	-1.1105054007101292	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Qwen3-8B/metamath	base minus original_lora	target	3	1.6932019206469466	1.5921152388172715	1.7437452615617843	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Qwen3-8B/metamath	base minus original_lora	off_score	3	4.783673033545024	1.6483283623606155	9.42688707578894	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Qwen3-8B/metamath	base minus original_lora	forgetting_gap	3	-4.948178871807206	-9.522414078114908	-1.798836842342548	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Qwen3-8B/tulu	base minus original_lora	target	3	2.7110289587184204	1.8484288354898268	3.5120147874306866	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Qwen3-8B/tulu	base minus original_lora	off_score	3	-7.331811739870081	-7.722989138166014	-6.829680442885703	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Qwen3-8B/tulu	base minus original_lora	forgetting_gap	3	0.0	0.0	0.0	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Llama-3.1-8B-Instruct/magicoder	base minus original_lora	target	3	-2.032520325203258	-3.6585365853658587	-1.2195121951219576	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Llama-3.1-8B-Instruct/magicoder	base minus original_lora	off_score	3	4.099806351256892	2.965569221926934	4.9783827473534075	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Llama-3.1-8B-Instruct/magicoder	base minus original_lora	forgetting_gap	3	-4.5968158702527715	-4.97838274735341	-4.001707710681046	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Llama-3.1-8B-Instruct/metamath	base minus original_lora	target	3	-13.141268637856959	-14.708112206216825	-12.05458680818802	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Llama-3.1-8B-Instruct/metamath	base minus original_lora	off_score	3	3.3880468554048875	2.3338030022907787	4.0955565967536245	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Llama-3.1-8B-Instruct/metamath	base minus original_lora	forgetting_gap	3	-4.065553630472642	-4.705312694314604	-3.3500631648924064	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Llama-3.1-8B-Instruct/tulu	base minus original_lora	target	3	-0.6161429451632779	-1.1090573012939018	0.0	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
model_task/Llama-3.1-8B-Instruct/tulu	base minus original_lora	off_score	3	-3.620694264071936	-5.490650612549594	-1.7506105718624312	paired source-checkpoint bootstrap; fixed test set; 2000 draws; subgroup CIs descriptive/unadjusted
