base	train_task	seed	method	eval_task	score	samples	metric	metrics_path	metrics_sha256	reused	origin	predictions_sha256	scored_sha256	actual_directory
Qwen3-8B	base		base	magicoder	66.46341463414635	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/base/metrics.json	d21c154319de2d2b38f18910283ec26ba2cf21f0ce79b488b39ca66fd85a9731	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/base
Qwen3-8B	magicoder	42	original_lora	magicoder	65.2439024390244	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__original_lora/metrics.json	158716803ae7bbc7bf9c6ae18aa68975199bc878c30b2c123f868e4d179eed87	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__original_lora
Qwen3-8B	magicoder	42	hns_f4_s1	magicoder	75.0	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__hns_f4_s1/metrics.json	dc29f3b9085c85e484ca6cad3c29a0ef845a111a0c88d8cceb61d36861fee396	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__hns_f4_s1
Qwen3-8B	metamath	42	original_lora	magicoder	64.02439024390245	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__original_lora/metrics.json	2ae33057bcbc30e7c3d42c479bab2a037e2e48ad1e46641efcd3954f1b0f98e4	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__original_lora
Qwen3-8B	metamath	42	hns_f4_s1	magicoder	67.6829268292683	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__hns_f4_s1/metrics.json	6b65c51a937441bdad723618cb1d210f93516dd7172408d58ae226183ac55655	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__hns_f4_s1
Qwen3-8B	tulu	42	original_lora	magicoder	84.7560975609756	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__original_lora/metrics.json	e61d5ff2777744c707e5bf7fdcfae4fd6ba67f6c0552d8b00a685e90fd4bed2b	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__original_lora
Qwen3-8B	tulu	42	hns_f4_s1	magicoder	82.92682926829268	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__hns_f4_s1/metrics.json	56914f9b2f3eb5c66b602efbf90e6a2ecac4471d18a38258b014a5edc4d59333	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__hns_f4_s1
Qwen3-8B	base		base	metamath	85.74677786201667	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/base/metrics.json	5725cdb9b4678a5bce2a8f96e8187ce679f2cf50aa7babd19cf1f55f671fa9c0	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/base
Qwen3-8B	magicoder	42	original_lora	metamath	83.92721758908263	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__original_lora/metrics.json	8f7bdbcb861c69c9e856959a079fdeaa31cf42fd25f950ba99079c86753ae736	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed42__original_lora
Qwen3-8B	magicoder	42	hns_f4_s1	metamath	88.62774829416225	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__hns_f4_s1/metrics.json	3daa7b6686c0be221cf4ebbc40932550db867da9a48b782e7521f910c7c06158	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed42__hns_f4_s1
Qwen3-8B	metamath	42	original_lora	metamath	84.1546626231994	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__original_lora/metrics.json	c5508dc203c3c40913fa89d9d4827b8e50ddcb1448812b2f013864bc07c31c31	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed42__original_lora
Qwen3-8B	metamath	42	hns_f4_s1	metamath	88.17285822592874	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__hns_f4_s1/metrics.json	b1ab0c5b81a266c90d611c680384959e9eaf0d6ad6870770f57956d7a8a58cdd	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed42__hns_f4_s1
Qwen3-8B	tulu	42	original_lora	metamath	89.0068233510235	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__original_lora/metrics.json	69d8b8d541a8edb0d885d17538ff9b67eb99918f6d0673df54b19be464bc1d9f	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed42__original_lora
Qwen3-8B	tulu	42	hns_f4_s1	metamath	88.70356330553449	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__hns_f4_s1/metrics.json	95b1fb37848e823ec7882fb967cc10e526bb2d1377bbb1bd989592dfcb646cd6	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed42__hns_f4_s1
Qwen3-8B	base		base	tulu	69.68576709796673	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/base/metrics.json	33da0e76ec453d77c153d34fa1b6c386b14263c905f3c9b3b35e63df4e999f1a	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/base
Qwen3-8B	magicoder	42	original_lora	tulu	65.80406654343808	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__original_lora/metrics.json	6c8df235c1afc3a14d60b70acb23a6f4db462e7c98c7ec93682c7e9abe9b8686	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__original_lora
Qwen3-8B	magicoder	42	hns_f4_s1	tulu	71.71903881700554	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__hns_f4_s1/metrics.json	4b756d9a0ea68edbaa5c65cf6cc4c57fa14462a5f510c3f0595ce40732baab66	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__hns_f4_s1
Qwen3-8B	metamath	42	original_lora	tulu	66.72828096118299	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__original_lora/metrics.json	52b4fe55e6089926c3c15e61da6bb08668c3711cb0622e6b5cca4a57f09624c6	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__original_lora
Qwen3-8B	metamath	42	hns_f4_s1	tulu	72.45841035120148	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__hns_f4_s1/metrics.json	1f493a8c2acf384177920ed4277882f775a6844890fef9b8c4c255dae695cb1a	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__hns_f4_s1
Qwen3-8B	tulu	42	original_lora	tulu	67.8373382624769	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__original_lora/metrics.json	1b6ed10c8d02011bbed1412ef8f97706daca87a59a0669bf22156e1a518a0acf	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__original_lora
Qwen3-8B	tulu	42	hns_f4_s1	tulu	70.79482439926062	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__hns_f4_s1/metrics.json	9a3b1625b785f208d4a485617c88edc12cff6e9468d0b0baea834de19c3e6811	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__hns_f4_s1
Qwen3-8B	base		base	commonsense	82.67503434198252	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/base/metrics.json	c48cbf42503649dcd50fb3d78824d099f89596d4839a1e29dff0724ff946dcad	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/commonsense/base
Qwen3-8B	magicoder	42	original_lora	commonsense	83.66224435780832	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__original_lora/metrics.json	c3f59f27d77f58564e186763d252c435684abe5bdd433249f7c6dee1441df947	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/commonsense/magicoder__seed42__original_lora
Qwen3-8B	magicoder	42	hns_f4_s1	commonsense	83.65273723214618	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__hns_f4_s1/metrics.json	e055c7cbe596abbcd698cae50d93c5e1ac46408b0f4039ebcc7a01ae21cd9d2c	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/commonsense/magicoder__seed42__hns_f4_s1
Qwen3-8B	metamath	42	original_lora	commonsense	83.12655978192834	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__original_lora/metrics.json	699a2ee8dfa25fc1edddb791cf452586577ccab5af49f07b31e0013c1df9b4e5	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/commonsense/metamath__seed42__original_lora
Qwen3-8B	metamath	42	hns_f4_s1	commonsense	84.61988734853911	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__hns_f4_s1/metrics.json	0677370c51735e7cd5384b1e6657ab4d8932f48752fa754ab4c3cf4c7bfdc625	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/commonsense/metamath__seed42__hns_f4_s1
Qwen3-8B	tulu	42	original_lora	commonsense	84.29127334064447	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__original_lora/metrics.json	d5cd8ab8640549dcb5db69df96358d05c2a3444b56193e6e9ac9448112c5d741	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/commonsense/tulu__seed42__original_lora
Qwen3-8B	tulu	42	hns_f4_s1	commonsense	84.457699756602	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__hns_f4_s1/metrics.json	86a2d338bb652e3cd475ee6c631b41c6230e7f4274bbcc3322d18fc100805454	True	seed42			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/commonsense/tulu__seed42__hns_f4_s1
Qwen3-8B	magicoder	43	original_lora	magicoder	62.80487804878049	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/magicoder__seed43__original_lora/metrics.json	ba8701eb1ff08eda0ec09ba79cc613ea51be2b4bbc9561f928e2ada5f6dd2d7a	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__original_lora
Qwen3-8B	magicoder	43	hns_f4_s1	magicoder	74.39024390243902	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/magicoder__seed43__hns_f4_s1/metrics.json	6244e0c6c36b1a26aba178f077c5325d972bc072eb3399eec620c318d3f4282c	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__hns_f4_s1
Qwen3-8B	metamath	43	original_lora	magicoder	57.92682926829268	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/metamath__seed43__original_lora/metrics.json	3cd9d05e1ddb31c2b7194d420f538e83507675f628011bf3f697a480d0aacbf6	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__original_lora
Qwen3-8B	metamath	43	hns_f4_s1	magicoder	73.17073170731707	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/metamath__seed43__hns_f4_s1/metrics.json	049c74713a773c56172aa9eaf470b06fb88ec426b709002a15fd1afbbf606c13	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__hns_f4_s1
Qwen3-8B	tulu	43	original_lora	magicoder	81.70731707317073	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/tulu__seed43__original_lora/metrics.json	416bce4ab037c3c5dbec5ea9d35c17cced82516c79fe47eb9e1d15089267dbd9	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed43__original_lora
Qwen3-8B	tulu	43	hns_f4_s1	magicoder	80.48780487804879	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/tulu__seed43__hns_f4_s1/metrics.json	8e9ba4860b5cf313fc8c594e9800b1a65589d359d9ada43d187d8799b514f4ba	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed43__hns_f4_s1
Qwen3-8B	magicoder	44	original_lora	magicoder	64.63414634146342	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/magicoder__seed44__original_lora/metrics.json	edba4a2edfdad503488fb89b288d00f607733dff8552be1449d91886f72b5519	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed44__original_lora
Qwen3-8B	magicoder	44	hns_f4_s1	magicoder	74.39024390243902	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/magicoder__seed44__hns_f4_s1/metrics.json	3ff7745de7eb3301b532e6e0c6d4059c1b7c5f0de91ba0be311be61dbac52e50	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed44__hns_f4_s1
Qwen3-8B	metamath	44	original_lora	magicoder	40.853658536585364	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/metamath__seed44__original_lora/metrics.json	0e4a51dff6aeb7df1afc03f8d07faa4a8a325836ee2dc8c5f7d03d8e2d6e7039	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed44__original_lora
