base	task	seed	method	path	source	source_sha256	weights_sha256	calibration_dataset	calibration_path	calibration_split	calibration_sha256	calibration_samples	calibration_seed	gradient_seconds	edit_seconds	edited_modules
Qwen3-8B	magicoder	42	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/magicoder/seed42/grad_direction	/dataset1/zailong/models/spectral-surgery/Qwen3-8B-Magicoder-50K-LoRA-E1	1f40c25e60ac1c115e409a8e30edf6f8696c671a7ef6b251583c7698dce079c3	39f60853235c1a7888e88b881abc9eece69acd851fe2a62acd373037819dcdda	ise-uiuc/Magicoder-Evol-Instruct-110K	/dataset1/zailong/data/peft-sft-lab/magicoder-train.parquet	train	ff1dda789a725a9b8840f63aa9956bcff397b8dc4311cfc98aaa2c11ba0ed0ca	128	42	43.17401201184839	80.9517463510856	72
Qwen3-8B	metamath	42	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/metamath/seed42/grad_direction	/dataset1/zailong/models/spectral-surgery/Qwen3-8B-MetaMathQA-50K-LoRA	6cc0464e0797ec6c73cdd6d6ba9ff6ec9fffbd699b4580707bf087fabcc942d0	df7a7fab6dfeb5b67d1df6db24636dec4b654c518b212aad46441247adff0766	meta-math/MetaMathQA	/dataset1/zailong/data/peft-sft-lab/metamathqa-train.parquet	train	5bcc40288ba3927eb859a10e07e118c09543789c1e7373a645174345f526b76e	128	42	26.43282285798341	57.247686525806785	72
Qwen3-8B	tulu	42	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/tulu/seed42/grad_direction	/dataset1/zailong/models/spectral-surgery/Qwen3-8B-InstructionFollowing-LoRA	861b3193a98d36c12da904f7611d71c3b0d416503155e440674493f433816db3	b2600f7d5757ea0358551a566df0b9e6bf4d262e01bf7519fad405434617c476	tulu_if	/dataset1/zailong/data/peft-sft-lab/cross-task-mechanism/tulu-3-sft-personas-instruction-following-train.parquet	train	d7a7d6c1e1ac7cc878afeae95394b759c678510a4a345a1799b7506bbe17ebd8	128	42	27.328607274219394	59.29164081579074	72
Qwen3-8B	magicoder	43	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/magicoder/seed43/grad_direction	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed43/lora/magicoder	161dd620f9c8f2ffd64faf09bde8cf1806fc2ba3259d531fb543278c3b7e42bc	73b99cf78bc630b420e0440b1675f06bbaf2a290bcf75f920384e1c162c25b47	ise-uiuc/Magicoder-Evol-Instruct-110K	/dataset1/zailong/data/peft-sft-lab/magicoder-train.parquet	train	ff1dda789a725a9b8840f63aa9956bcff397b8dc4311cfc98aaa2c11ba0ed0ca	128	42	29.871904779225588	63.75423283688724	72
Qwen3-8B	metamath	43	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/metamath/seed43/grad_direction	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed43/lora/metamath	2357aede2caec8a7861b935294eb7f32b35a07bc30694154d8d7a20bc85df10b	75adfc31292f7ef1a436e114cf05f6929fb7ef33ccfa7c73c89484588ebd6772	meta-math/MetaMathQA	/dataset1/zailong/data/peft-sft-lab/metamathqa-train.parquet	train	5bcc40288ba3927eb859a10e07e118c09543789c1e7373a645174345f526b76e	128	42	27.001413334626704	55.425185977015644	72
Qwen3-8B	tulu	43	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/tulu/seed43/grad_direction	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed43/lora/tulu	f6a02ea38d27963f96eaa6cd11a4daa8a8a709513febc321fefc358a07d002fb	c1cd5a92653ee2f74ea6d849b08670fe65a11772300f70065bce6eea89efbdda	tulu_if	/dataset1/zailong/data/peft-sft-lab/cross-task-mechanism/tulu-3-sft-personas-instruction-following-train.parquet	train	d7a7d6c1e1ac7cc878afeae95394b759c678510a4a345a1799b7506bbe17ebd8	128	42	27.60615001898259	58.00338243599981	72
Qwen3-8B	magicoder	44	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/magicoder/seed44/grad_direction	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed44/lora/magicoder	eb3899888d043eb204ac10f9557344a1fabc0bb4d4e82965ae6a615047243932	f9f5c6cbb55fadf15f77d09e7a06385a16d5f58cb046cb90b3c0762c31df4512	ise-uiuc/Magicoder-Evol-Instruct-110K	/dataset1/zailong/data/peft-sft-lab/magicoder-train.parquet	train	ff1dda789a725a9b8840f63aa9956bcff397b8dc4311cfc98aaa2c11ba0ed0ca	128	42	29.82612979831174	52.208193216938525	72
Qwen3-8B	metamath	44	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/metamath/seed44/grad_direction	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed44/lora/metamath	f6ac86577814d21d2245e9eb2e0c7b02e45194455ff8245726e1cc43789e29c2	78870cf6b679ad904b97b741386ed232b55508b833d31a5026980dccb8fb736d	meta-math/MetaMathQA	/dataset1/zailong/data/peft-sft-lab/metamathqa-train.parquet	train	5bcc40288ba3927eb859a10e07e118c09543789c1e7373a645174345f526b76e	128	42	26.281542411074042	54.068124268203974	72
Qwen3-8B	tulu	44	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/tulu/seed44/grad_direction	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed44/lora/tulu	8c26a920aada7d7a17dfc24e86f07350e3bb3d561f4eaf9c60292d55e127d99d	d4a2cf8bc9cdb8f66da67c1b5fe65d11876cbcf66f1029ff02889f71a73e2bf5	tulu_if	/dataset1/zailong/data/peft-sft-lab/cross-task-mechanism/tulu-3-sft-personas-instruction-following-train.parquet	train	d7a7d6c1e1ac7cc878afeae95394b759c678510a4a345a1799b7506bbe17ebd8	128	42	27.485974606126547	59.50854714913294	72
Llama-3.1-8B-Instruct	magicoder	42	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/magicoder/seed42/grad_direction	/dataset1/zailong/models/spectral-surgery/Llama-3.1-8B-Instruct-Magicoder-50K-LoRA-E1	e74360cc6515aecb214ba48688187f0c013dbca75c72d0ce53d7b55dc62d80df	571199ee504edc8e4e5df5220d8fe77be280279cddf089fa93cc87db1a9ba14d	ise-uiuc/Magicoder-Evol-Instruct-110K	/dataset1/zailong/data/peft-sft-lab/magicoder-train.parquet	train	ff1dda789a725a9b8840f63aa9956bcff397b8dc4311cfc98aaa2c11ba0ed0ca	128	42	38.21207402879372	75.80568278115243	64
Llama-3.1-8B-Instruct	metamath	42	spectral_surgery_grad_direction	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/metamath/seed42/grad_direction	/dataset1/zailong/models/spectral-surgery/Llama-3.1-8B-Instruct-MetaMathQA-50K-LoRA	dc1da52d2ead239677080e32106815d9d3353eed71af73cd1784758bf7ecea91	4dcc2758a69b8b483e796fcbc0969c5c00824b24abf1d5f1da0bed8280b58aca	meta-math/MetaMathQA	/dataset1/zailong/data/peft-sft-lab/metamathqa-train.parquet	train	5bcc40288ba3927eb859a10e07e118c09543789c1e7373a645174345f526b76e	128	42	24.083739668130875	57.74219995411113	64
