group	method	n	target	off_score	forgetting_gap
overall	base	18	66.4729912026992	69.99311686456403	0.0
overall	original_lora	18	67.99797931455494	69.55120898067872	2.7081660112714134
overall	hns_f4_s1	18	72.08343957191462	72.79151252738858	0.3440958896830034
overall	spectral_surgery_grad_direction	18	68.7637168065032	68.28199865928049	3.722545804990652
model/Qwen3-8B	base	9	73.96531986470991	76.86855802380079	0.0
model/Qwen3-8B	original_lora	9	71.75198545234693	77.27379523689342	2.2045652076565645
model/Qwen3-8B	hns_f4_s1	9	77.8232382441681	80.48935442810138	0.0
model/Qwen3-8B	spectral_surgery_grad_direction	9	72.97695735824983	77.00878877656194	2.3333829633557763
model/Llama-3.1-8B-Instruct	base	9	58.980662540688485	63.11767570532729	0.0
model/Llama-3.1-8B-Instruct	original_lora	9	64.24397317676298	61.82862272446401	3.2117668148862615
model/Llama-3.1-8B-Instruct	hns_f4_s1	9	66.34364089966114	65.09367062667579	0.6881917793660068
model/Llama-3.1-8B-Instruct	spectral_surgery_grad_direction	9	64.55047625475657	59.555208541999	5.111708646625527
task/magicoder	base	6	59.45121951219512	72.3337074280654	0.0
task/magicoder	original_lora	6	59.34959349593496	69.61759071891336	3.131166310707629
task/magicoder	hns_f4_s1	6	64.63414634146342	73.5310950105009	0.6445266586049793
task/magicoder	spectral_surgery_grad_direction	6	61.07723577235772	67.32741085177595	5.057517964600573
task/metamath	base	6	74.0712661106899	67.46035856190046	0.0
task/metamath	original_lora	6	79.79529946929493	63.37449861742551	4.5068662511399245
task/metamath	hns_f4_s1	6	83.4091483447056	68.99312375019319	0.33303189468395983
task/metamath	spectral_surgery_grad_direction	6	79.65630528177913	64.3913717719003	3.6263824698998683
task/tulu	base	6	65.89648798521256	70.18528460372626	0.0
task/tulu	original_lora	6	64.849044978435	75.66153760569726	0.4864654719666856
task/tulu	hns_f4_s1	6	68.20702402957487	75.85031882147166	0.05472911576007138
task/tulu	spectral_surgery_grad_direction	6	65.55760936537277	73.12721335416515	2.4837369804715146
model_task/Qwen3-8B/magicoder	base	3	66.46341463414635	79.36919310065531	0.0
model_task/Qwen3-8B/magicoder	original_lora	3	64.22764227642277	78.03676603360815	1.6655167511624869
model_task/Qwen3-8B/magicoder	hns_f4_s1	3	74.59349593495934	81.26057961818536	0.0
model_task/Qwen3-8B/magicoder	spectral_surgery_grad_direction	3	67.07317073170731	75.39115296760389	4.080482909673696
model_task/Qwen3-8B/metamath	base	3	85.74677786201669	72.94140535803187	0.0
model_task/Qwen3-8B/metamath	original_lora	3	84.05357594136973	68.15773232448684	4.948178871807206
model_task/Qwen3-8B/metamath	hns_f4_s1	3	87.46525145312104	75.2767121929747	0.0
model_task/Qwen3-8B/metamath	spectral_surgery_grad_direction	3	84.20520596411423	70.32352260735632	2.919665980393633
model_task/Qwen3-8B/tulu	base	3	69.68576709796673	78.29507561271518	0.0
model_task/Qwen3-8B/tulu	original_lora	3	66.97473813924832	85.62688735258526	0.0
model_task/Qwen3-8B/tulu	hns_f4_s1	3	71.41096734442391	84.93077147314409	0.0
model_task/Qwen3-8B/tulu	spectral_surgery_grad_direction	3	67.65249537892791	85.3116907547256	0.0
model_task/Llama-3.1-8B-Instruct/magicoder	base	3	52.4390243902439	65.29822175547548	0.0
model_task/Llama-3.1-8B-Instruct/magicoder	original_lora	3	54.47154471544716	61.198415404218586	4.5968158702527715
model_task/Llama-3.1-8B-Instruct/magicoder	hns_f4_s1	3	54.674796747967484	65.80161040281645	1.2890533172099585
model_task/Llama-3.1-8B-Instruct/magicoder	spectral_surgery_grad_direction	3	55.081300813008134	59.26366873594804	6.03455301952745
model_task/Llama-3.1-8B-Instruct/metamath	base	3	62.39575435936316	61.97931176576907	0.0
model_task/Llama-3.1-8B-Instruct/metamath	original_lora	3	75.53702299722012	58.59126491036418	4.0655536304726425
model_task/Llama-3.1-8B-Instruct/metamath	hns_f4_s1	3	79.35304523629011	62.70953530741166	0.6660637893679197
model_task/Llama-3.1-8B-Instruct/metamath	spectral_surgery_grad_direction	3	75.10740459944402	58.45922093644427	4.333098959406104
model_task/Llama-3.1-8B-Instruct/tulu	base	3	62.10720887245841	62.07549359473732	0.0
model_task/Llama-3.1-8B-Instruct/tulu	original_lora	3	62.72335181762168	65.69618785880925	0.9729309439333712
model_task/Llama-3.1-8B-Instruct/tulu	hns_f4_s1	3	65.00308071472581	66.76986616979923	0.10945823152014277
model_task/Llama-3.1-8B-Instruct/tulu	spectral_surgery_grad_direction	3	63.46272335181762	60.94273595360469	4.967473960943029
