analysis	unit_and_budget	target	result	failure_or_boundary	writing_use
Checkpoint raw top-1	8 checkpoints	Full-HNS downstream gain	Spearman rho=0.357; exact permutation p=0.389	Small n and no reliable predictive association	Raw spectral sharpness is insufficient as a gain predictor.
Checkpoint functional top-1	8 checkpoints	Full-HNS downstream gain	Spearman rho=0.452; p=0.267	Directionally stronger than raw but unresolved; leave-Magicoder-out rho=-0.086	Functional concentration is a candidate descriptor, not a validated predictor.
Checkpoint functional effective rank	8 checkpoints	Full-HNS downstream gain	Spearman rho=-0.476; p=0.243	Unresolved and checkpoint-sensitive	Lower functional rank cannot be used as a decision rule.
Checkpoint p99 suppression	8 checkpoints	Full-HNS downstream gain	Spearman rho=0.571; p=0.151	Suppression is universal but gain sign is not	Moving the model less in extremes does not determine utility.
Alignment amplification	8 checkpoints	Full-HNS downstream gain	Spearman rho=0.667; p=0.083	Exploratory and driven strongly by Magicoder	Mention only as a future hypothesis.
FunctionalTop-K localization	3 representative checkpoints; 25% and 50% scopes	Downstream gain and advantage over RawTop-K/random	Task- and scope-dependent signs; no stable advantage over RawTop-K or matched random	Coverage and layer/type structure confound functional ranking	Use as causal boundary against concentration-only localization.
F-by-gradient-compatibility quadrants	3 checkpoints; 30 adapter sets	Downstream gain	Only Llama Tulu Low-F/High-C Top-50 survives 60-test Holm/BH	High-F is neither necessary nor monotonically beneficial within compatible regions	Reject a simple High-F x High-C intervention rule.
Single-module SFT-NLL utility	252/252/224 modules on Magicoder/Commonsense/Llama-Tulu	Held-out teacher-forced NLL utility	Gradient compatibility predicts Qwen Commonsense NLL strongly, but task-level downstream signs oppose NLL in all three cases	Surrogate objective mismatch and set non-additivity	A predictor can be valid for its surrogate and still fail for deployment utility.
PIQA signed spectral gate	24 directions; 10% and 100% doses	Greedy accuracy flips	At 10% all flips involve one question; at 100% two questions; rho -0.414 becomes +0.065 after removing one influential item	Accuracy signal too sparse; 10% chosen only by tie rule	Report as an underidentified pilot, not evidence for an inverse rule.
MetaMath reward-gradient pilot	128 questions x 4 rollouts	Signed benefit of Full-HNS, HeadOnly, ScalarShrink paths	Paired gradient-difference CIs all cross zero; fixed halves change sign	RLOO advantages often zero and current budget cannot distinguish paths	Reward gradient was not identifiable at this budget; theory is not disproved.
MetaMath direct-dose calibration	256 calibration plus 512 validation	Best HeadOnly dose and gain over matched scalar	Selected alpha=1; HeadOnly minus scalar +0.59 pp strict, CI [-1.37,+2.54]	Dose selection uncertain and shape effect unresolved	Scale remains a competitive explanation.
MetaMath calibrated global scalar	256 calibration plus 512 same-question validation	HNS advantage over tuned scalar	Strict +0.39 pp, CI [-1.56,+2.34]; numeric -0.20 pp, CI [-1.76,+1.56]	No superiority or equivalence result; gamma=0.4 is grid boundary	Central practical-control result and stopping justification.
