checkpoint	base	eval_task	method	directory	sample_input_sha256	metrics_sha256	predictions_sha256	scored_sha256
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/magicoder/magicoder__seed42__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	20fc1d3f426b4214d5ec52b04ec042603be9029dfe37be46e4d4ee788bbf7252	c8d208104f9fc8bf70a0c91d91f48685999f237e44893fce29beca78e78ca757	ba2ddd643b0126cd512867ff30c9295efdf1066e88b292a79d44124cc3502de9
Qwen3-8B/magicoder/seed42	Qwen3-8B	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/metamath/magicoder__seed42__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	615b3ae09206f633dc8eca8b15a60240b9fbf5bda1f792ee3d4b0955dec8444b	303fb29d9d7fe419f3b3d41868704b1ef2b0c432b916bfec0a3930fb70685cf6	541dc8e61113ba7aa810a4efa81cb62a109bc2f60182d454a1c368f85ecf07b2
Qwen3-8B/magicoder/seed42	Qwen3-8B	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/tulu/magicoder__seed42__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	4d99b62e9060d54699832b437600c7b914804312ac4b1045d50a7daf9c07e16a	f65ff328f3cc4cc0fc6f4231477565e87951707f06063cfb74531dcc4bf06eca	617208fe7f77f49a94d2a825b4ec4750443d61d7cbf6c2f07a3fc71b42a8e49a
Qwen3-8B/magicoder/seed42	Qwen3-8B	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/commonsense/magicoder__seed42__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	6879bc3c86933833a87671597941128a73d20fbfd95a41089bc5d383ac9403a2	0a8381247e93ebcef132b6748f855583b55114d78bffce318c2420bb587edd1e	2c955ce96e3e6b73f20c680ce5346cc5e61a0f723b884c1237007d6c27b4fb26
Qwen3-8B/metamath/seed42	Qwen3-8B	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/magicoder/metamath__seed42__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	bfd12b5d33c37b91649d05df4293f708ac067f5caba8f7bb406efa436a491910	0f8cfe06324b89f152df3e9c19ca28789f868b2ef10fc08b6f1b4e5b2cc00c24	20e22ae2be15af0bf4d6a566ef7e053490184b0d7e1266867154c05a4d6242fe
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/metamath/metamath__seed42__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	e9243d9442766f402314661d70b8fc4fc9c8661cc5c3ea34f83be793d5fa48e4	39071dfdcb77fa6bdd30e63d87dc4e12cf086532034cb94c8b618da157b7e0ed	022b2b41d7d85419ecdf5480674364880fd786fb698fcc729b713524bb96de16
Qwen3-8B/metamath/seed42	Qwen3-8B	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/tulu/metamath__seed42__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	8e8c9511d8e8c8e5a1567b7b6c89950321730b258ba44bfe5bbb00aa9ed81e62	3c32220bb0e307774d6381a375577dfbec4f9017e6f3c9146ed04088203240be	c167a0065fcb9d02f67770aa23945c770fbb0982b5911071ca549cc780cd5001
Qwen3-8B/metamath/seed42	Qwen3-8B	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/commonsense/metamath__seed42__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	3b4655cb5e2bfbe0b33eafc240c757071b5e4ff256f67e6c5dac9fb927d64cda	377662f041be5d775113d6e94c606da36c6a10bc4aec0b67ddbbc9b322f48d43	31f4f3a087c9b6cad79f55f6f50a7117bbb072ee033bc8331dbf0d2b4c4010dc
Qwen3-8B/tulu/seed42	Qwen3-8B	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/magicoder/tulu__seed42__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	68844246ff07dd9c7bfff30f88f0482d1849cf630547941a730c983c8539dedc	b174f89e917be0c03ebd54fd1f07816ca0edf78e6ad04decffa58c8927cc709d	7f1a1fa2e0764788eb8fef1751dfb56a1cc4f4e94b7e6c7d933959c68cb54feb
Qwen3-8B/tulu/seed42	Qwen3-8B	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/metamath/tulu__seed42__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	54f4f5a32e6a072c15d94afd6584ec9b04939d8ac43f192acdc64cddf2a1304d	e14531b2ea2cbe2604a0a111024b46dc2cdbcebbde864610e2286006f438a76c	35c9209fbe3aae86a7597c8c8341a5f416c1270e86f645837ea358038f781ec2
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/tulu/tulu__seed42__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	8164346072f4ee1b7c1d1ef2ffc8ad4310c3463fd5ce3f09741e26d31332407d	d253be134be8f903c638806233405efe459aa00530334f1ef09990bc2eb6aafe	a5f085b611478a52372bfd779135f956a16141a8d99ac32878223b00d07459b8
Qwen3-8B/tulu/seed42	Qwen3-8B	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/commonsense/tulu__seed42__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	b913a6a8fdcb12a73f49c7a4f2ecdc73766ac80e09e25e653653465b0227c59d	f29cdb98c5ea95ef33b7211b05cdf60da01e6ddecdd86ca6aa1458055a360b18	23b6471fb83a6e88d4803bffccf7e1a6e8df4f244bc6cce4309d17fda3dd0aed
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/magicoder/magicoder__seed43__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	3e9dd13a5f1e45dff617952644a9c7c6a666f9d9748d88f9bf99d6506acec7c5	2f114c6944e72a345219aadd8d4365b2ddba611a039840fa08a51cc582c7687e	c9ffa07500fc9389440047b1abeb01172dd191d06b0198a4ae987539b82a2db8
