base_model	task	variant	category	endpoint	n	lora_score	variant_score	delta	bootstrap_ci_low	bootstrap_ci_high	lora_only_correct	variant_only_correct	mcnemar_exact_p	mcnemar_exact_p_holm	mcnemar_exact_p_bh_fdr
Qwen3-8B	magicoder	scalar_shrink	humaneval	accuracy	164	0.774390243902439	0.7865853658536586	0.012195121951219523	-0.04878048780487805	0.07317073170731707	11	13	0.8388197422027588	1.0	1.0
Qwen3-8B	magicoder	scalar_shrink	mbpp	accuracy	257	0.7198443579766537	0.7159533073929961	-0.0038910505836575737	-0.038910505836575876	0.0311284046692607	11	10	1.0	1.0	1.0
Qwen3-8B	magicoder	shape_only	humaneval	accuracy	164	0.774390243902439	0.823170731707317	0.04878048780487798	-0.006097560975609756	0.10975609756097561	8	16	0.15158963203430176	1.0	0.5062173388137553
Qwen3-8B	magicoder	shape_only	mbpp	accuracy	257	0.7198443579766537	0.7354085603112841	0.015564202334630406	-0.023346303501945526	0.054474708171206226	11	15	0.557197093963623	1.0	0.9155603701642935
Qwen3-8B	magicoder	head_only	humaneval	accuracy	164	0.774390243902439	0.8292682926829268	0.05487804878048774	0.0	0.10975609756097561	7	16	0.0931396484375	1.0	0.3842010498046875
Qwen3-8B	magicoder	head_only	mbpp	accuracy	257	0.7198443579766537	0.7276264591439688	0.0077821011673151474	-0.03501945525291829	0.05058365758754864	15	17	0.860050065908581	1.0	1.0
Qwen3-8B	magicoder	tail_only	humaneval	accuracy	164	0.774390243902439	0.7682926829268293	-0.0060975609756097615	-0.03048780487804878	0.012195121951219513	2	1	1.0	1.0	1.0
Qwen3-8B	magicoder	tail_only	mbpp	accuracy	257	0.7198443579766537	0.7237354085603113	0.0038910505836575737	-0.007782101167315175	0.019455252918287938	1	2	1.0	1.0	1.0
Qwen3-8B	magicoder	hns	humaneval	accuracy	164	0.774390243902439	0.8292682926829268	0.05487804878048774	0.0	0.10975609756097561	7	16	0.0931396484375	1.0	0.3842010498046875
Qwen3-8B	magicoder	hns	mbpp	accuracy	257	0.7198443579766537	0.7392996108949417	0.01945525291828798	-0.019455252918287938	0.058365758754863814	11	16	0.44206833839416504	1.0	0.8539466439223871
Qwen3-8B	magicoder	head_fro_restore	humaneval	accuracy	164	0.774390243902439	0.7987804878048781	0.024390243902439046	-0.03048780487804878	0.07926829268292683	8	12	0.5034446716308594	1.0	0.8781386462882096
Qwen3-8B	magicoder	head_fro_restore	mbpp	accuracy	257	0.7198443579766537	0.7237354085603113	0.0038910505836575737	-0.0311284046692607	0.038910505836575876	9	10	1.0	1.0	1.0
Qwen3-8B	metamath	scalar_shrink	gsm8k	accuracy	1319	0.8400303260045489	0.8498862774829417	0.0098559514783928	-0.006823351023502654	0.02577710386656558	54	67	0.27525333440239125	1.0	0.6449723101973192
Qwen3-8B	metamath	shape_only	gsm8k	accuracy	1319	0.8400303260045489	0.8786959818043972	0.038665655799848375	0.021986353297952996	0.05534495830174375	40	91	9.795729150815383e-06	0.003634215514952507	0.00014919649014318812
Qwen3-8B	metamath	head_only	gsm8k	accuracy	1319	0.8400303260045489	0.8711144806671721	0.031084154662623265	0.011372251705837756	0.050037907505686124	61	102	0.0016468724314863748	0.5895803304721222	0.016717516919938138
Qwen3-8B	metamath	tail_only	gsm8k	accuracy	1319	0.8400303260045489	0.8506444275966641	0.010614101592115288	0.000758150113722517	0.02047005307050796	15	29	0.048766765904474596	1.0	0.24898118239182693
Qwen3-8B	metamath	hns	gsm8k	accuracy	1319	0.8400303260045489	0.8840030326004549	0.04397270659590602	0.02577710386656558	0.0621683093252464	46	104	2.4715829058159294e-06	0.0009219004238693417	4.078111794596283e-05
Qwen3-8B	metamath	head_fro_restore	gsm8k	accuracy	1319	0.8400303260045489	0.8718726307808946	0.03184230477634575	0.016679302501895376	0.04700530705079606	33	75	6.550370792480044e-05	0.023974357100476962	0.0008367570431684185
