base	eval_task	method	train_task	seed	sample_input_sha256	samples
Qwen3-8B	magicoder	base	base		1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	original_lora	magicoder	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	hns_f4_s1	magicoder	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	original_lora	metamath	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	hns_f4_s1	metamath	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	original_lora	tulu	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	hns_f4_s1	tulu	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	base	base		d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	original_lora	magicoder	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	hns_f4_s1	magicoder	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	original_lora	metamath	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	hns_f4_s1	metamath	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	original_lora	tulu	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	hns_f4_s1	tulu	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	base	base		8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	original_lora	magicoder	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
