base	train_task	seed	method	eval_task	score	samples	metric	metrics_path	metrics_sha256	reused	origin
Qwen3-8B	base		base	magicoder	66.46341463414635	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/base/metrics.json	d21c154319de2d2b38f18910283ec26ba2cf21f0ce79b488b39ca66fd85a9731	True	seed42
Qwen3-8B	magicoder	42	original_lora	magicoder	65.2439024390244	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__original_lora/metrics.json	158716803ae7bbc7bf9c6ae18aa68975199bc878c30b2c123f868e4d179eed87	True	seed42
Qwen3-8B	magicoder	42	hns_f4_s1	magicoder	75.0	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__hns_f4_s1/metrics.json	dc29f3b9085c85e484ca6cad3c29a0ef845a111a0c88d8cceb61d36861fee396	True	seed42
Qwen3-8B	magicoder	42	functional_hns_a05	magicoder	70.73170731707317	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__functional_hns_a05/metrics.json	2d4c7cd8adf3ef4fcbe4e94a7ae24dbf9adaf9661b965f906deeec96735103d2	False	seed42
Qwen3-8B	magicoder	42	functional_hns_a10	magicoder	68.29268292682927	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__functional_hns_a10/metrics.json	ffa1adbf910657c6fe7bcc737926a049e04282d365cd2cd62a0e0c3307836eb7	False	seed42
Qwen3-8B	magicoder	42	functional_flat	magicoder	67.6829268292683	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__functional_flat/metrics.json	ae5d5a20a9d0e3a51edea292d497ae818ca9d4726dfdb20121f3260ac772cf20	False	seed42
Qwen3-8B	metamath	42	original_lora	magicoder	64.02439024390245	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__original_lora/metrics.json	2ae33057bcbc30e7c3d42c479bab2a037e2e48ad1e46641efcd3954f1b0f98e4	True	seed42
Qwen3-8B	metamath	42	hns_f4_s1	magicoder	67.6829268292683	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__hns_f4_s1/metrics.json	6b65c51a937441bdad723618cb1d210f93516dd7172408d58ae226183ac55655	True	seed42
Qwen3-8B	metamath	42	functional_hns_a05	magicoder	69.51219512195121	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__functional_hns_a05/metrics.json	a6b17467d1840e21f9df944f64dd94abc5d78e95cdae9feb7cdcd291c085ad98	False	seed42
Qwen3-8B	metamath	42	functional_hns_a10	magicoder	71.34146341463415	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__functional_hns_a10/metrics.json	7ef74ffd664ec254ea978657480e0456d68cc1d920912ce99e8f08a6b8ec9b7a	False	seed42
