base	train_task	seed	method	eval_task	score	samples	metric	metrics_path	reused	metrics_sha256
Qwen3-8B	base		base	magicoder	66.46341463414635	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/base/metrics.json	True	d21c154319de2d2b38f18910283ec26ba2cf21f0ce79b488b39ca66fd85a9731
Qwen3-8B	magicoder	42	original_lora	magicoder	65.2439024390244	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__original_lora/metrics.json	True	158716803ae7bbc7bf9c6ae18aa68975199bc878c30b2c123f868e4d179eed87
Qwen3-8B	magicoder	42	hns_f4_s1	magicoder	75.0	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__hns_f4_s1/metrics.json	True	dc29f3b9085c85e484ca6cad3c29a0ef845a111a0c88d8cceb61d36861fee396
Qwen3-8B	magicoder	42	functional_hns_a05	magicoder	70.73170731707317	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__functional_hns_a05/metrics.json	False	2d4c7cd8adf3ef4fcbe4e94a7ae24dbf9adaf9661b965f906deeec96735103d2
Qwen3-8B	magicoder	42	functional_hns_a10	magicoder	68.29268292682927	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__functional_hns_a10/metrics.json	False	ffa1adbf910657c6fe7bcc737926a049e04282d365cd2cd62a0e0c3307836eb7
Qwen3-8B	magicoder	42	functional_flat	magicoder	67.6829268292683	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/magicoder__seed42__functional_flat/metrics.json	False	ae5d5a20a9d0e3a51edea292d497ae818ca9d4726dfdb20121f3260ac772cf20
Qwen3-8B	metamath	42	original_lora	magicoder	64.02439024390245	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__original_lora/metrics.json	True	2ae33057bcbc30e7c3d42c479bab2a037e2e48ad1e46641efcd3954f1b0f98e4
Qwen3-8B	metamath	42	hns_f4_s1	magicoder	67.6829268292683	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__hns_f4_s1/metrics.json	True	6b65c51a937441bdad723618cb1d210f93516dd7172408d58ae226183ac55655
Qwen3-8B	metamath	42	functional_hns_a05	magicoder	69.51219512195121	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__functional_hns_a05/metrics.json	False	a6b17467d1840e21f9df944f64dd94abc5d78e95cdae9feb7cdcd291c085ad98
Qwen3-8B	metamath	42	functional_hns_a10	magicoder	71.34146341463415	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__functional_hns_a10/metrics.json	False	7ef74ffd664ec254ea978657480e0456d68cc1d920912ce99e8f08a6b8ec9b7a
Qwen3-8B	metamath	42	functional_flat	magicoder	69.51219512195121	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__functional_flat/metrics.json	False	e34f32adb8c8e416eb5a8c82d7fd2fd91edfdff678eadc941c6a002d0288b632
Qwen3-8B	tulu	42	original_lora	magicoder	84.7560975609756	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__original_lora/metrics.json	True	e61d5ff2777744c707e5bf7fdcfae4fd6ba67f6c0552d8b00a685e90fd4bed2b
Qwen3-8B	tulu	42	hns_f4_s1	magicoder	82.92682926829268	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__hns_f4_s1/metrics.json	True	56914f9b2f3eb5c66b602efbf90e6a2ecac4471d18a38258b014a5edc4d59333
Qwen3-8B	tulu	42	functional_hns_a05	magicoder	83.53658536585365	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__functional_hns_a05/metrics.json	False	ea9fd2092e8dddd46e85bfe071e83af0d556785b28e2fc502ccd1f8980681f33
Qwen3-8B	tulu	42	functional_hns_a10	magicoder	81.70731707317073	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__functional_hns_a10/metrics.json	False	492b8b1e157a755e871ff706c74b7a1736b0bfcd13d3fe30bb03e538c0521a1d
Qwen3-8B	tulu	42	functional_flat	magicoder	81.09756097560977	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__functional_flat/metrics.json	False	6ea82a3db92d90e2b2e63496ac5ef57e8595e0395f8901bb147dda4311977b9f
Qwen3-8B	base		base	metamath	85.74677786201667	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/base/metrics.json	True	5725cdb9b4678a5bce2a8f96e8187ce679f2cf50aa7babd19cf1f55f671fa9c0
Qwen3-8B	magicoder	42	original_lora	metamath	83.92721758908263	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__original_lora/metrics.json	True	8f7bdbcb861c69c9e856959a079fdeaa31cf42fd25f950ba99079c86753ae736
