base	train_task	seed	method	eval_task	score	samples	primary_metric	metrics_path	predictions_path
Qwen3-8B	base		base	magicoder	66.46341463414635	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/base/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/base/predictions.jsonl
Qwen3-8B	magicoder	42	original_lora	magicoder	65.2439024390244	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__original_lora/predictions.jsonl
Qwen3-8B	magicoder	42	flat_fro	magicoder	76.82926829268293	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__flat_fro/predictions.jsonl
Qwen3-8B	magicoder	42	flat_nuclear	magicoder	75.60975609756098	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__flat_nuclear/predictions.jsonl
Qwen3-8B	magicoder	42	dg_hard	magicoder	65.2439024390244	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__dg_hard/predictions.jsonl
Qwen3-8B	magicoder	42	hns_f4_s1	magicoder	75.0	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed42__hns_f4_s1/predictions.jsonl
Qwen3-8B	metamath	42	original_lora	magicoder	64.02439024390245	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__original_lora/predictions.jsonl
Qwen3-8B	metamath	42	flat_fro	magicoder	65.85365853658537	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__flat_fro/predictions.jsonl
Qwen3-8B	metamath	42	flat_nuclear	magicoder	68.29268292682927	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__flat_nuclear/predictions.jsonl
Qwen3-8B	metamath	42	dg_hard	magicoder	64.02439024390245	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__dg_hard/predictions.jsonl
Qwen3-8B	metamath	42	hns_f4_s1	magicoder	67.6829268292683	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed42__hns_f4_s1/predictions.jsonl
Qwen3-8B	tulu	42	original_lora	magicoder	84.7560975609756	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__original_lora/predictions.jsonl
Qwen3-8B	tulu	42	flat_fro	magicoder	82.3170731707317	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__flat_fro/predictions.jsonl
Qwen3-8B	tulu	42	flat_nuclear	magicoder	83.53658536585365	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__flat_nuclear/predictions.jsonl
Qwen3-8B	tulu	42	dg_hard	magicoder	84.7560975609756	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__dg_hard/predictions.jsonl
Qwen3-8B	tulu	42	hns_f4_s1	magicoder	82.92682926829268	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed42__hns_f4_s1/predictions.jsonl
Qwen3-8B	magicoder	43	original_lora	magicoder	62.80487804878049	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__original_lora/predictions.jsonl
Qwen3-8B	magicoder	43	flat_fro	magicoder	76.21951219512195	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__flat_fro/predictions.jsonl
Qwen3-8B	magicoder	43	flat_nuclear	magicoder	73.17073170731707	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__flat_nuclear/predictions.jsonl
Qwen3-8B	magicoder	43	dg_hard	magicoder	62.80487804878049	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__dg_hard/predictions.jsonl
Qwen3-8B	magicoder	43	hns_f4_s1	magicoder	74.39024390243902	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/magicoder__seed43__hns_f4_s1/predictions.jsonl
Qwen3-8B	metamath	43	original_lora	magicoder	57.92682926829268	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__original_lora/predictions.jsonl
Qwen3-8B	metamath	43	flat_fro	magicoder	67.6829268292683	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__flat_fro/predictions.jsonl
Qwen3-8B	metamath	43	flat_nuclear	magicoder	73.78048780487805	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__flat_nuclear/predictions.jsonl
Qwen3-8B	metamath	43	dg_hard	magicoder	57.92682926829268	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__dg_hard/predictions.jsonl
Qwen3-8B	metamath	43	hns_f4_s1	magicoder	73.17073170731707	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed43__hns_f4_s1/predictions.jsonl
